startTime,time,open,high,low,close,volume
2020-10-12T02:00:00+00:00,1602468000000.0,50.25,51.59,50.03,51.59,13778.8357
2020-10-12T03:00:00+00:00,1602471600000.0,51.59,52.98,51.4,51.96,145302.0588
2020-10-12T04:00:00+00:00,1602475200000.0,51.96,51.96,50.81,50.86,83106.6373
2020-10-12T05:00:00+00:00,1602478800000.0,50.86,51.58,50.03,50.8,11344.5385
2020-10-12T06:00:00+00:00,1602482400000.0,50.8,50.94,49.97,49.97,22884.0738
2020-10-12T07:00:00+00:00,1602486000000.0,49.97,50.47,49.07,49.69,66097.1942
2020-10-12T08:00:00+00:00,1602489600000.0,49.69,50.14,49.0,49.81,24496.7932
2020-10-12T09:00:00+00:00,1602493200000.0,49.81,50.51,49.61,50.14,16933.5259
2020-10-12T10:00:00+00:00,1602496800000.0,50.14,50.15,48.55,49.19,4123.4506
2020-10-12T11:00:00+00:00,1602500400000.0,49.19,49.21,48.22,48.69,6275.8112
2020-10-12T12:00:00+00:00,1602504000000.0,48.65,49.12,47.74,49.07,38806.6653
2020-10-12T13:00:00+00:00,1602507600000.0,49.07,51.81,48.66,51.44,52236.831
2020-10-12T14:00:00+00:00,1602511200000.0,51.44,52.04,49.7,50.78,47595.2685
2020-10-12T15:00:00+00:00,1602514800000.0,50.78,51.84,50.5,51.58,9510.5592
2020-10-12T16:00:00+00:00,1602518400000.0,51.58,52.33,51.58,52.28,7515.8372
2020-10-12T17:00:00+00:00,1602522000000.0,52.28,52.68,52.0,52.35,15626.8365
2020-10-12T18:00:00+00:00,1602525600000.0,52.35,53.14,52.2,52.54,16195.097
2020-10-12T19:00:00+00:00,1602529200000.0,52.54,52.79,51.7,51.85,8388.9772
2020-10-12T20:00:00+00:00,1602532800000.0,51.85,52.22,51.84,51.86,1184.8381
2020-10-12T21:00:00+00:00,1602536400000.0,51.86,52.19,51.33,51.95,1485.6824
2020-10-12T22:00:00+00:00,1602540000000.0,51.95,52.05,51.0,52.02,6615.5547
2020-10-12T23:00:00+00:00,1602543600000.0,52.02,52.06,51.0,51.34,4778.9027
2020-10-13T00:00:00+00:00,1602547200000.0,51.34,51.58,51.0,51.46,3615.2411
2020-10-13T01:00:00+00:00,1602550800000.0,51.46,51.48,51.0,51.44,6864.8168
2020-10-13T02:00:00+00:00,1602554400000.0,51.44,53.57,51.0,51.23,25119.9963
2020-10-13T03:00:00+00:00,1602558000000.0,51.23,51.34,50.95,50.98,16378.1818
2020-10-13T04:00:00+00:00,1602561600000.0,50.98,51.08,50.35,50.94,2776.0723
2020-10-13T05:00:00+00:00,1602565200000.0,50.94,51.89,50.49,51.58,9250.4721
2020-10-13T06:00:00+00:00,1602568800000.0,51.58,51.58,50.46,50.96,227.033
2020-10-13T07:00:00+00:00,1602572400000.0,50.96,51.25,50.43,51.25,2300.1642
2020-10-13T08:00:00+00:00,1602576000000.0,51.25,51.52,50.9,51.29,3345.7281
2020-10-13T09:00:00+00:00,1602579600000.0,51.29,51.6,51.23,51.45,1510.8221
2020-10-13T10:00:00+00:00,1602583200000.0,51.45,51.91,50.87,51.91,2344.3396
2020-10-13T11:00:00+00:00,1602586800000.0,51.91,52.53,51.89,51.95,8588.0918
2020-10-13T12:00:00+00:00,1602590400000.0,51.95,52.31,51.92,52.3,1310.7995
2020-10-13T13:00:00+00:00,1602594000000.0,52.3,52.31,49.34,50.61,117474.2332
2020-10-13T14:00:00+00:00,1602597600000.0,50.61,51.23,50.23,51.07,4393.1261
