startTime,time,open,high,low,close,volume
2021-01-02T01:00:00+00:00,1609549200000.0,5.48725,5.52475,5.4675,5.523,0.5523
2021-01-02T02:00:00+00:00,1609552800000.0,5.523,5.6725,5.523,5.587,84030.9827
2021-01-02T03:00:00+00:00,1609556400000.0,5.587,5.619,5.5755,5.58,4379.6752
2021-01-02T04:00:00+00:00,1609560000000.0,5.58,5.614,5.5795,5.589,9402.92515
2021-01-02T05:00:00+00:00,1609563600000.0,5.589,5.63,5.5795,5.609,10181.42805
2021-01-02T06:00:00+00:00,1609567200000.0,5.609,5.6205,5.592,5.6095,7995.28005
2021-01-02T07:00:00+00:00,1609570800000.0,5.6095,5.628,5.5945,5.6235,3114.72245
2021-01-02T08:00:00+00:00,1609574400000.0,5.6235,5.632,5.6235,5.629,3022.0261
2021-01-02T09:00:00+00:00,1609578000000.0,5.629,5.64,5.629,5.63,3511.3078
2021-01-02T10:00:00+00:00,1609581600000.0,5.63,5.64,5.63,5.64,2307.41835
2021-01-02T11:00:00+00:00,1609585200000.0,5.64,5.651,5.632,5.651,5851.6563
2021-01-02T12:00:00+00:00,1609588800000.0,5.651,5.68,5.56,5.659,65302.2126
2021-01-02T13:00:00+00:00,1609592400000.0,5.659,5.74,5.6305,5.7385,83581.88355
2021-01-02T14:00:00+00:00,1609596000000.0,5.7385,5.7405,5.6555,5.699,17282.2571
2021-01-02T15:00:00+00:00,1609599600000.0,5.699,5.953,5.699,5.953,102659.85475
2021-01-02T16:00:00+00:00,1609603200000.0,5.953,6.078,5.9375,6.041,172501.22875
2021-01-02T17:00:00+00:00,1609606800000.0,6.041,6.0555,6.015,6.046,38363.53675
2021-01-02T18:00:00+00:00,1609610400000.0,6.046,6.0885,6.0145,6.086,40558.5241
2021-01-02T19:00:00+00:00,1609614000000.0,6.086,6.087,5.9595,5.9595,30348.82965
2021-01-02T20:00:00+00:00,1609617600000.0,5.9595,5.9595,5.781,5.784,66752.196
2021-01-02T21:00:00+00:00,1609621200000.0,5.784,5.8785,5.784,5.8685,32249.68
2021-01-02T22:00:00+00:00,1609624800000.0,5.8685,5.959,5.8635,5.9495,35111.4912
2021-01-02T23:00:00+00:00,1609628400000.0,5.9495,5.9925,5.9235,5.9925,13563.9114
2021-01-03T00:00:00+00:00,1609632000000.0,5.9925,6.027,5.992,6.0245,33746.53575
2021-01-03T01:00:00+00:00,1609635600000.0,6.0245,6.044,6.017,6.034,4519.1098
2021-01-03T02:00:00+00:00,1609639200000.0,6.034,6.0535,5.94,6.007,162761.1889
2021-01-03T03:00:00+00:00,1609642800000.0,6.007,6.007,5.958,5.958,41412.67235
2021-01-03T04:00:00+00:00,1609646400000.0,5.958,6.0095,5.95,6.0095,10566.08685
2021-01-03T05:00:00+00:00,1609650000000.0,6.0095,6.204,6.005,6.06,110715.87065
2021-01-03T06:00:00+00:00,1609653600000.0,6.06,6.1275,6.041,6.041,5410.61255
