startTime,time,open,high,low,close,volume
2021-07-15T22:00:00+00:00,1626386400000.0,0.49975,2.92075,0.49925,1.86,243243.3162
2021-07-15T23:00:00+00:00,1626390000000.0,1.86,1.8695,1.174,1.435,896973.5056
2021-07-16T00:00:00+00:00,1626393600000.0,1.435,1.435,1.182,1.285,409484.6685
2021-07-16T01:00:00+00:00,1626397200000.0,1.285,1.2955,1.05,1.107,590163.0261
2021-07-16T02:00:00+00:00,1626400800000.0,1.107,1.118,0.8,0.95,850165.4578
2021-07-16T03:00:00+00:00,1626404400000.0,0.95,0.9635,0.77,0.779,1215528.99
2021-07-16T04:00:00+00:00,1626408000000.0,0.779,0.7895,0.66,0.7425,1043067.56315
2021-07-16T05:00:00+00:00,1626411600000.0,0.7425,0.748,0.5505,0.6465,1006945.3497
2021-07-16T06:00:00+00:00,1626415200000.0,0.6465,0.65,0.538,0.582,782648.56205
2021-07-16T07:00:00+00:00,1626418800000.0,0.582,0.635,0.552,0.57,468563.5662
2021-07-16T08:00:00+00:00,1626422400000.0,0.57,0.57,0.5215,0.5375,600172.3148
2021-07-16T09:00:00+00:00,1626426000000.0,0.5375,0.5435,0.483,0.4885,640246.13285
2021-07-16T10:00:00+00:00,1626429600000.0,0.4885,0.49,0.42,0.438,541895.56195
2021-07-16T11:00:00+00:00,1626433200000.0,0.438,0.51,0.4105,0.491,498748.55825
2021-07-16T12:00:00+00:00,1626436800000.0,0.491,0.68,0.487,0.644,785016.59865
2021-07-16T13:00:00+00:00,1626440400000.0,0.644,0.68,0.58,0.6435,424155.14295
2021-07-16T14:00:00+00:00,1626444000000.0,0.6435,0.6455,0.577,0.6035,336093.62175
2021-07-16T15:00:00+00:00,1626447600000.0,0.6035,0.629,0.603,0.6105,111580.17945
2021-07-16T16:00:00+00:00,1626451200000.0,0.6105,0.63,0.5605,0.6085,253840.48055
2021-07-16T17:00:00+00:00,1626454800000.0,0.6085,0.654,0.55,0.626,245874.0799
2021-07-16T18:00:00+00:00,1626458400000.0,0.626,0.8545,0.605,0.8345,628183.5126
2021-07-16T19:00:00+00:00,1626462000000.0,0.8345,1.0,0.83,0.9765,1810255.11295
2021-07-16T20:00:00+00:00,1626465600000.0,0.9765,1.1325,0.945,1.122,1072094.9033
2021-07-16T21:00:00+00:00,1626469200000.0,1.122,1.18,0.916,0.9345,932011.8861
2021-07-16T22:00:00+00:00,1626472800000.0,0.9345,1.0065,0.844,0.9175,640646.8926
2021-07-16T23:00:00+00:00,1626476400000.0,0.9175,0.9195,0.83,0.859,279067.1913
2021-07-17T00:00:00+00:00,1626480000000.0,0.859,0.8615,0.76,0.8345,290398.49415
2021-07-17T01:00:00+00:00,1626483600000.0,0.8345,0.9245,0.8225,0.874,242714.6327
2021-07-17T02:00:00+00:00,1626487200000.0,0.874,0.998,0.858,0.9655,318179.71945
2021-07-17T03:00:00+00:00,1626490800000.0,0.9655,1.0355,0.923,1.0305,415252.5613
2021-07-17T04:00:00+00:00,1626494400000.0,1.0305,1.1475,0.9815,1.0825,418357.59875
2021-07-17T05:00:00+00:00,1626498000000.0,1.083,1.2295,1.0605,1.0955,674246.4958
2021-07-17T06:00:00+00:00,1626501600000.0,1.0955,1.1375,0.9725,1.1035,447413.3639
2021-07-17T07:00:00+00:00,1626505200000.0,1.1035,1.281,1.0955,1.1965,831460.9612
2021-07-17T08:00:00+00:00,1626508800000.0,1.1965,1.3,1.0825,1.264,574311.5614
2021-07-17T09:00:00+00:00,1626512400000.0,1.264,1.38,1.231,1.2585,749264.71565
2021-07-17T10:00:00+00:00,1626516000000.0,1.2585,1.44,1.255,1.4365,1284216.67865
2021-07-17T11:00:00+00:00,1626519600000.0,1.4365,1.9215,1.4255,1.696,2840879.65815
2021-07-17T12:00:00+00:00,1626523200000.0,1.701,1.7615,1.4085,1.6655,1120452.72755
2021-07-17T13:00:00+00:00,1626526800000.0,1.6655,1.8095,1.5,1.78,1000556.494
2021-07-17T14:00:00+00:00,1626530400000.0,1.78,2.11,1.704,2.0085,2029058.4685
2021-07-17T15:00:00+00:00,1626534000000.0,2.0085,2.0255,1.712,1.767,1110675.6714
2021-07-17T16:00:00+00:00,1626537600000.0,1.767,1.921,1.628,1.8285,519340.87765
2021-07-17T17:00:00+00:00,1626541200000.0,1.8285,1.879,1.727,1.8705,389413.5181
2021-07-17T18:00:00+00:00,1626544800000.0,1.8705,2.0,1.8005,1.93,830136.4122
2021-07-17T19:00:00+00:00,1626548400000.0,1.93,1.95,1.719,1.8,609435.4191
2021-07-17T20:00:00+00:00,1626552000000.0,1.8,1.869,1.58,1.5985,406672.7609
2021-07-17T21:00:00+00:00,1626555600000.0,1.5985,1.7665,1.56,1.5625,243454.94785
2021-07-17T22:00:00+00:00,1626559200000.0,1.576,1.6015,1.413,1.453,235150.51615
2021-07-17T23:00:00+00:00,1626562800000.0,1.453,1.7165,1.4365,1.6805,341115.15025
2021-07-18T00:00:00+00:00,1626566400000.0,1.6805,1.711,1.528,1.5535,266571.56665
2021-07-18T01:00:00+00:00,1626570000000.0,1.5535,1.6605,1.5,1.508,130143.756
2021-07-18T02:00:00+00:00,1626573600000.0,1.508,1.566,1.469,1.4895,243819.51075
2021-07-18T03:00:00+00:00,1626577200000.0,1.4895,1.495,1.3395,1.36,274864.06265
2021-07-18T04:00:00+00:00,1626580800000.0,1.36,1.426,1.292,1.2975,294031.12785
2021-07-18T05:00:00+00:00,1626584400000.0,1.2975,1.426,1.2465,1.389,381406.3982
2021-07-18T06:00:00+00:00,1626588000000.0,1.391,1.489,1.3805,1.405,151516.84635
2021-07-18T07:00:00+00:00,1626591600000.0,1.405,1.6,1.4025,1.5785,172710.0289
2021-07-18T08:00:00+00:00,1626595200000.0,1.5785,1.69,1.516,1.6365,265526.376
2021-07-18T09:00:00+00:00,1626598800000.0,1.6365,1.6365,1.42,1.437,202148.36455
2021-07-18T10:00:00+00:00,1626602400000.0,1.437,1.52,1.4355,1.5025,198303.49755
2021-07-18T11:00:00+00:00,1626606000000.0,1.5025,1.631,1.496,1.5165,310351.5836
2021-07-18T12:00:00+00:00,1626609600000.0,1.5165,1.584,1.487,1.531,116531.09675
2021-07-18T13:00:00+00:00,1626613200000.0,1.531,1.5535,1.342,1.377,230514.0913
2021-07-18T14:00:00+00:00,1626616800000.0,1.377,1.461,1.3005,1.3495,222939.2132
2021-07-18T15:00:00+00:00,1626620400000.0,1.3495,1.387,1.3065,1.323,194737.6302
2021-07-18T16:00:00+00:00,1626624000000.0,1.323,1.4155,1.25,1.35,229817.1762
2021-07-18T17:00:00+00:00,1626627600000.0,1.35,1.447,1.3105,1.3895,194822.14845
2021-07-18T18:00:00+00:00,1626631200000.0,1.3895,1.402,1.297,1.321,83536.15805
2021-07-18T19:00:00+00:00,1626634800000.0,1.321,1.334,1.2845,1.319,73898.12945
2021-07-18T20:00:00+00:00,1626638400000.0,1.319,1.38,1.312,1.3565,43977.71845
2021-07-18T21:00:00+00:00,1626642000000.0,1.3565,1.375,1.334,1.344,58745.49115
2021-07-18T22:00:00+00:00,1626645600000.0,1.344,1.353,1.3105,1.3285,62365.2188
2021-07-18T23:00:00+00:00,1626649200000.0,1.3285,1.3565,1.318,1.337,45712.47975
2021-07-19T00:00:00+00:00,1626652800000.0,1.337,1.3505,1.28,1.3065,89831.77235
2021-07-19T01:00:00+00:00,1626656400000.0,1.3065,1.3195,1.212,1.2265,297600.8541
2021-07-19T02:00:00+00:00,1626660000000.0,1.2265,1.317,1.226,1.2825,217453.70835
2021-07-19T03:00:00+00:00,1626663600000.0,1.2825,1.2895,1.23,1.278,396587.3931
2021-07-19T04:00:00+00:00,1626667200000.0,1.278,1.369,1.278,1.368,216954.58565
2021-07-19T05:00:00+00:00,1626670800000.0,1.368,1.93,1.2145,1.462,705329.4976
2021-07-19T06:00:00+00:00,1626674400000.0,1.462,1.49,1.395,1.395,75836.3063
2021-07-19T07:00:00+00:00,1626678000000.0,1.395,1.4045,1.321,1.3305,107460.46185
2021-07-19T08:00:00+00:00,1626681600000.0,1.3305,1.47,1.3305,1.4,383460.2123
2021-07-19T09:00:00+00:00,1626685200000.0,1.4,1.44,1.332,1.35,118778.46065
2021-07-19T10:00:00+00:00,1626688800000.0,1.35,1.395,1.2855,1.287,118263.5327
2021-07-19T11:00:00+00:00,1626692400000.0,1.287,1.337,1.27,1.289,139874.8287
2021-07-19T12:00:00+00:00,1626696000000.0,1.289,1.32,1.2545,1.2695,125422.416
2021-07-19T13:00:00+00:00,1626699600000.0,1.2695,1.3755,1.24,1.335,305271.0773
2021-07-19T14:00:00+00:00,1626703200000.0,1.335,1.3485,1.26,1.295,123451.5974
2021-07-19T15:00:00+00:00,1626706800000.0,1.295,1.3485,1.2765,1.282,80612.53875
2021-07-19T16:00:00+00:00,1626710400000.0,1.282,1.35,1.2575,1.283,622887.6485
