startTime,time,open,high,low,close,volume
2020-09-17T03:00:00+00:00,1600311600000.0,2.9665,2.983,2.9595,2.983,2.983
2020-09-17T04:00:00+00:00,1600315200000.0,2.983,3.05,2.312,2.615,224889.0719
2020-09-17T05:00:00+00:00,1600318800000.0,2.615,2.804,2.42,2.513,274852.864
2020-09-17T06:00:00+00:00,1600322400000.0,2.513,3.716,2.464,3.684,251943.0106
2020-09-17T07:00:00+00:00,1600326000000.0,3.684,4.37,3.269,3.42,276492.1772
2020-09-17T08:00:00+00:00,1600329600000.0,3.42,3.614,2.833,2.876,91124.8933
2020-09-17T09:00:00+00:00,1600333200000.0,2.876,3.183,2.75,2.953,91972.2109
2020-09-17T10:00:00+00:00,1600336800000.0,2.953,3.277,2.885,3.0,105911.8936
2020-09-17T11:00:00+00:00,1600340400000.0,3.0,3.11,2.808,2.885,68221.6116
2020-09-17T12:00:00+00:00,1600344000000.0,2.885,2.886,2.51,2.605,162993.8988
2020-09-17T13:00:00+00:00,1600347600000.0,2.605,2.977,2.57,2.885,97157.0402
2020-09-17T14:00:00+00:00,1600351200000.0,2.885,2.934,2.736,2.922,47743.9077
2020-09-17T15:00:00+00:00,1600354800000.0,2.922,3.239,2.922,3.026,66949.8194
2020-09-17T16:00:00+00:00,1600358400000.0,3.028,3.662,2.924,3.599,117048.9268
2020-09-17T17:00:00+00:00,1600362000000.0,3.599,3.95,3.515,3.64,102265.2521
2020-09-17T18:00:00+00:00,1600365600000.0,3.643,3.756,3.25,3.493,138585.5301
2020-09-17T19:00:00+00:00,1600369200000.0,3.493,3.645,3.36,3.506,44780.5252
2020-09-17T20:00:00+00:00,1600372800000.0,3.506,3.923,3.498,3.706,31034.9929
2020-09-17T21:00:00+00:00,1600376400000.0,3.706,3.788,3.529,3.598,42457.1468
2020-09-17T22:00:00+00:00,1600380000000.0,3.598,3.648,3.128,3.173,102299.0176
2020-09-17T23:00:00+00:00,1600383600000.0,3.173,3.638,3.169,3.499,56840.4572
2020-09-18T00:00:00+00:00,1600387200000.0,3.499,3.686,3.397,3.401,157566.9103
2020-09-18T01:00:00+00:00,1600390800000.0,3.401,3.446,3.27,3.358,45975.2945
2020-09-18T02:00:00+00:00,1600394400000.0,3.358,3.693,3.296,3.631,169222.0209
2020-09-18T03:00:00+00:00,1600398000000.0,3.631,4.184,3.519,4.083,141015.873
2020-09-18T04:00:00+00:00,1600401600000.0,4.083,4.766,4.083,4.428,375191.9866
2020-09-18T05:00:00+00:00,1600405200000.0,4.428,4.723,4.228,4.656,63167.6585
2020-09-18T06:00:00+00:00,1600408800000.0,4.656,5.397,4.51,5.154,144865.1637
2020-09-18T07:00:00+00:00,1600412400000.0,5.154,5.939,5.024,5.78,238046.9651
2020-09-18T08:00:00+00:00,1600416000000.0,5.78,5.78,4.695,5.084,165129.9238
2020-09-18T09:00:00+00:00,1600419600000.0,5.084,5.495,4.842,5.193,64716.7286
2020-09-18T10:00:00+00:00,1600423200000.0,5.194,5.338,4.98,5.185,199918.1437
2020-09-18T11:00:00+00:00,1600426800000.0,5.185,5.3,4.734,4.821,90671.101
2020-09-18T12:00:00+00:00,1600430400000.0,4.821,5.181,4.821,5.151,67504.6692
