Date,Open,High,Low,Close,Volume
2021-01-04,530.0,540.0,528.0,536.0,38770328
2021-01-05,536.0,542.0,535.0,542.0,34411866
2021-01-06,555.0,555.0,541.0,549.0,53030554
2021-01-07,554.0,570.0,553.0,565.0,51166782
2021-01-08,580.0,580.0,571.0,580.0,59563555
2021-01-11,577.0,584.0,574.0,584.0,48810990
2021-01-12,583.0,597.0,582.0,591.0,50232426
2021-01-13,595.0,605.0,593.0,605.0,62662393
2021-01-14,587.0,597.0,587.0,592.0,75288477
2021-01-15,621.0,625.0,601.0,601.0,92010500
2021-01-18,608.0,608.0,594.0,607.0,45726476
2021-01-19,618.0,632.0,613.0,627.0,50672866
2021-01-20,633.0,650.0,631.0,647.0,82066422
2021-01-21,640.0,679.0,640.0,673.0,89019137
2021-01-22,649.0,665.0,649.0,649.0,125179403
2021-01-25,642.0,646.0,626.0,633.0,93050133
2021-01-26,632.0,640.0,610.0,617.0,100153482
2021-01-27,618.0,625.0,611.0,615.0,59985191
2021-01-28,600.0,608.0,598.0,601.0,96447533
2021-01-29,619.0,619.0,591.0,591.0,90745237
2021-02-01,595.0,612.0,587.0,611.0,67462398
2021-02-02,629.0,638.0,622.0,632.0,78429188
2021-02-03,638.0,642.0,630.0,630.0,48738970
2021-02-04,626.0,632.0,620.0,627.0,46371900
2021-02-05,638.0,641.0,631.0,632.0,53267273
2021-02-17,663.0,668.0,660.0,663.0,107614290
2021-02-18,664.0,665.0,656.0,660.0,53109010
2021-02-19,656.0,657.0,647.0,652.0,50279585
2021-02-22,660.0,662.0,650.0,650.0,36474610
2021-02-23,641.0,643.0,633.0,641.0,50076333
2021-02-24,627.0,636.0,625.0,625.0,66206750
2021-02-25,636.0,636.0,628.0,635.0,43231417
2021-02-26,611.0,618.0,606.0,606.0,111861175
2021-03-02,621.0,622.0,609.0,609.0,54041533
2021-03-03,609.0,622.0,601.0,622.0,48252965
2021-03-04,609.0,611.0,601.0,601.0,67711962
2021-03-05,588.0,605.0,584.0,601.0,79918467
2021-03-08,608.0,610.0,598.0,598.0,43219772
2021-03-09,585.0,595.0,585.0,595.0,68768861
2021-03-10,601.0,601.0,593.0,597.0,40146301
2021-03-11,596.0,612.0,595.0,609.0,54416046
2021-03-12,615.0,618.0,609.0,614.0,33168846
2021-03-15,614.0,614.0,609.0,611.0,27416758
2021-03-16,610.0,613.0,607.0,613.0,36949425
2021-03-17,612.0,612.0,602.0,604.0,39517807
2021-03-18,606.0,609.0,602.0,602.0,29415526
2021-03-19,594.0,598.0,591.0,591.0,70866028
2021-03-22,588.0,598.0,586.0,593.0,34089033
2021-03-23,597.0,603.0,593.0,594.0,29374037
2021-03-24,571.0,582.0,571.0,576.0,107253959
2021-03-25,572.0,581.0,570.0,575.0,67833354
2021-03-26,582.0,592.0,580.0,590.0,36829858
2021-03-29,599.0,602.0,596.0,599.0,37884733
2021-03-30,600.0,600.0,592.0,597.0,33099123
2021-03-31,596.0,597.0,587.0,587.0,38790886
2021-04-01,598.0,602.0,594.0,602.0,43091157
2021-04-07,614.0,614.0,608.0,610.0,24603109
2021-04-08,606.0,613.0,603.0,613.0,23976625
2021-04-09,618.0,618.0,609.0,610.0,27303862
2021-04-12,612.0,613.0,603.0,605.0,22606128
2021-04-13,604.0,613.0,604.0,605.0,25971622
2021-04-14,608.0,612.0,600.0,612.0,30077913
2021-04-15,612.0,619.0,607.0,619.0,33530942
2021-04-16,610.0,611.0,603.0,610.0,48507383
2021-04-19,605.0,607.0,601.0,603.0,24231637
2021-04-20,598.0,602.0,595.0,602.0,34771635
2021-04-21,599.0,599.0,592.0,592.0,38458220
2021-04-22,596.0,598.0,591.0,591.0,33868521
2021-04-23,592.0,602.0,590.0,602.0,27754511
2021-04-26,605.0,610.0,603.0,610.0,30887664
2021-04-27,608.0,611.0,605.0,610.0,26317481
2021-04-28,606.0,608.0,601.0,602.0,24024054
2021-04-29,609.0,609.0,600.0,600.0,31828333
2021-05-03,595.0,597.0,588.0,588.0,41762441
2021-05-04,588.0,594.0,582.0,591.0,40273595
2021-05-05,594.0,594.0,585.0,585.0,29254785
2021-05-06,590.0,590.0,580.0,587.0,30725590
2021-05-07,594.0,600.0,589.0,599.0,28075722
2021-05-10,596.0,597.0,588.0,589.0,20434079
2021-05-11,579.0,580.0,570.0,571.0,59349193
2021-05-12,567.0,571.0,518.0,560.0,131741482
2021-05-13,547.0,563.0,541.0,547.0,66765627
2021-05-14,556.0,562.0,552.0,557.0,37533726
2021-05-17,544.0,558.0,541.0,549.0,56270958
2021-05-18,563.0,573.0,555.0,572.0,43689316
2021-05-19,571.0,572.0,565.0,567.0,28908777
2021-05-20,567.0,571.0,560.0,567.0,29709287
2021-05-21,572.0,577.0,568.0,573.0,27376731
2021-05-24,570.0,572.0,566.0,568.0,15629736
2021-05-25,576.0,584.0,573.0,583.0,33039911
2021-05-26,587.0,588.0,581.0,585.0,18703987
2021-05-27,580.0,582.0,573.0,582.0,62169719
2021-05-28,587.0,592.0,582.0,590.0,29086873
2021-05-31,595.0,597.0,590.0,597.0,30657474
2021-06-01,598.0,599.0,595.0,598.0,17818326
