Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,180.039993,181.529999,174.460007,177.050003,177.050003,102600
2021-01-05,177.070007,179.589996,176.110001,178.429993,178.429993,77100
2021-01-06,176.429993,180.5,171.460999,174.580002,174.580002,140900
2021-01-07,175.429993,179.595001,174.580002,174.910004,174.910004,87100
2021-01-08,176.279999,180.123001,173.080002,173.229996,173.229996,84300
2021-01-11,170.050003,170.375,159.460007,160.25,160.25,235500
2021-01-12,161.5,161.919998,154.179993,157.520004,157.520004,149300
2021-01-13,158.039993,159.184998,151.725006,152.520004,152.520004,141800
2021-01-14,152.800003,157.860001,152.800003,153.710007,153.710007,112500
2021-01-15,153.0,156.169998,151.134003,152.919998,152.919998,97100
2021-01-19,153.600006,158.970001,152.714996,154.580002,154.580002,152000
2021-01-20,157.740005,162.029999,156.619995,157.789993,157.789993,169100
2021-01-21,157.589996,158.580002,155.0,155.470001,155.470001,82300
2021-01-22,155.0,158.009995,155.0,157.0,157.0,107900
2021-01-25,157.389999,160.5,155.559998,156.100006,156.100006,379100
2021-01-26,153.740005,156.080002,150.580002,155.630005,155.630005,461700
2021-01-27,153.009995,167.139999,152.0,163.009995,163.009995,253800
2021-01-28,162.5,165.865005,156.119995,157.300003,157.300003,121500
2021-01-29,159.410004,162.574997,152.309998,152.809998,152.809998,127900
2021-02-01,152.839996,158.0,152.839996,156.089996,156.089996,117800
2021-02-02,156.809998,160.199997,156.0,158.899994,158.899994,117700
2021-02-03,157.720001,158.100006,151.800003,157.570007,157.570007,152700
2021-02-04,159.339996,162.554993,157.199997,161.070007,161.070007,187300
2021-02-05,162.610001,163.240005,156.199997,157.759995,157.759995,84700
2021-02-08,157.869995,167.220001,157.869995,167.0,167.0,183600
2021-02-09,166.080002,174.029999,164.759995,173.660004,173.660004,145100
2021-02-10,174.990005,180.059998,174.990005,179.179993,179.179993,186400
2021-02-11,179.179993,182.529999,177.990005,181.210007,181.210007,210700
2021-02-12,182.009995,185.442001,180.940002,181.5,181.5,117800
2021-02-16,180.0,181.449997,167.669998,168.5,168.5,159200
2021-02-17,168.25,176.005005,167.927994,172.160004,172.160004,164900
2021-02-18,170.330002,171.815002,166.229996,170.860001,170.860001,96000
2021-02-19,170.270004,177.080002,170.270004,174.149994,174.149994,203800
2021-02-22,170.889999,171.179993,160.729996,161.830002,161.830002,101300
2021-02-23,157.990005,162.425003,151.509995,162.110001,162.110001,314600
2021-02-24,161.240005,170.690002,160.0,170.509995,170.509995,185000
2021-02-25,170.360001,172.009995,165.070007,166.240005,166.240005,186400
2021-02-26,167.660004,168.242996,158.779999,164.020004,164.020004,137400
2021-03-01,166.690002,169.919998,160.160004,161.970001,161.970001,257300
2021-03-02,153.360001,154.0,134.25,134.820007,134.820007,917300
2021-03-03,130.509995,134.0,128.820007,132.050003,132.050003,390000
2021-03-04,130.0,135.179993,127.0,132.229996,132.229996,338900
2021-03-05,133.050003,138.860001,125.0,138.679993,138.679993,379800
2021-03-08,137.699997,143.539993,134.580002,138.070007,138.070007,330500
