Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,13.43,13.46,12.86,12.94,12.94,2150000
2021-01-05,13.0,13.38,12.96,13.33,13.33,2690300
2021-01-06,13.51,14.34,13.39,14.24,14.24,3021700
2021-01-07,14.49,14.6,14.02,14.08,14.08,2774000
2021-01-08,14.15,14.36,13.75,13.95,13.95,1590100
2021-01-11,13.76,14.53,13.713,14.32,14.32,1742600
2021-01-12,14.44,14.93,14.35,14.86,14.86,1884300
2021-01-13,14.82,14.9,14.41,14.48,14.48,1002600
2021-01-14,14.51,15.045,14.51,14.95,14.95,1586100
2021-01-15,14.87,14.94,14.355,14.72,14.72,1516000
2021-01-19,14.87,15.05,14.7,14.85,14.85,1554300
2021-01-20,15.02,15.175,14.85,15.085,15.085,1332300
2021-01-21,15.14,15.235,14.98,15.06,15.06,2246300
2021-01-22,14.96,15.04,14.475,14.73,14.73,1850700
2021-01-25,15.31,15.516,14.85,15.0,15.0,1927100
2021-01-26,15.0,15.25,14.42,14.51,14.51,1309600
2021-01-27,14.24,14.73,14.01,14.3,14.3,2803000
2021-01-28,14.3,15.01,14.29,14.79,14.79,1802600
2021-01-29,14.97,15.436,14.57,14.69,14.69,2028300
2021-02-01,14.86,15.48,14.81,15.385,15.385,1981000
2021-02-02,15.5,15.51,14.93,15.24,15.24,1280900
2021-02-03,15.465,15.59,15.24,15.59,15.59,900900
2021-02-04,15.65,15.7,15.28,15.41,15.41,1787600
2021-02-05,15.64,15.75,15.155,15.2,15.2,2183500
2021-02-08,15.12,15.495,15.12,15.29,15.29,3009600
2021-02-09,15.15,15.48,15.07,15.4,15.4,4235600
2021-02-10,15.52,15.65,15.16,15.42,15.42,2220200
2021-02-11,15.52,15.535,14.89,15.12,15.12,1780800
2021-02-12,15.0,15.66,14.87,15.6,15.6,1528300
2021-02-16,15.675,16.040001,15.54,15.83,15.83,3365300
2021-02-17,15.5,15.61,13.705,13.83,13.83,6286700
2021-02-18,13.861,14.31,13.465,13.5,13.5,4697800
2021-02-19,13.54,13.9,13.46,13.68,13.68,2778700
2021-02-22,13.67,13.82,13.435,13.8,13.8,2527400
2021-02-23,13.69,13.89,13.24,13.8,13.8,3330700
2021-02-24,13.85,14.59,13.8,14.58,14.58,2599000
2021-02-25,14.57,14.765,14.3,14.52,14.52,3791900
2021-02-26,14.6,14.69,14.085,14.59,14.59,2787000
2021-03-01,14.92,15.39,14.691,15.21,15.21,2043400
2021-03-02,15.08,15.24,14.84,14.85,14.85,1539800
2021-03-03,14.8,15.12,14.77,14.84,14.84,1721000
2021-03-04,14.72,14.885,13.97,14.22,14.22,2075800
2021-03-05,14.33,14.61,13.75,14.52,14.52,2374400
2021-03-08,14.55,15.37,14.4,15.25,15.25,2867800
2021-03-09,15.33,15.7,15.16,15.38,15.38,1851600
2021-03-10,15.32,15.74,14.97,15.54,15.54,2634800
2021-03-11,15.85,16.875,15.55,16.51,16.51,4341600
2021-03-12,16.5,17.08,16.49,16.73,16.73,3685000
2021-03-15,16.75,16.82,16.299999,16.809999,16.809999,2638600
2021-03-16,16.84,16.92,16.360001,16.785,16.785,4367000
2021-03-17,16.559999,16.82,16.466999,16.799999,16.799999,1715500
2021-03-18,16.629999,16.879999,16.0,16.07,16.07,3565100
2021-03-19,15.94,16.245001,15.75,15.85,15.85,5535000
2021-03-22,15.87,16.0,15.325,15.65,15.65,2208800
2021-03-23,15.53,15.71,14.65,14.82,14.82,2823200
2021-03-24,15.01,15.19,14.59,14.63,14.63,2281000
2021-03-25,14.55,15.425,14.47,15.33,15.33,2506000
2021-03-26,15.53,15.79,15.22,15.78,15.78,1523900
2021-03-29,15.78,16.035,15.165,15.27,15.27,1908100
2021-03-30,15.23,15.42,15.115,15.23,15.23,1968800
2021-03-31,15.2,15.63,15.105,15.36,15.36,2059400
2021-04-01,15.4,15.685,15.3,15.57,15.57,1477400
2021-04-05,15.62,15.725,15.46,15.64,15.64,1342700
2021-04-06,15.54,15.835,15.4,15.54,15.54,1930800
2021-04-07,15.6,15.7,15.23,15.42,15.42,2005300
2021-04-08,16.17,16.530001,15.9,16.35,16.35,7310900
2021-04-09,16.59,17.969999,16.49,17.5,17.5,8687000
2021-04-12,17.219999,17.389999,16.83,17.290001,17.290001,3092000
2021-04-13,17.73,17.91,17.09,17.25,17.25,2728800
2021-04-14,17.1,17.465,17.1,17.16,17.16,1932600
2021-04-15,17.290001,17.290001,16.709999,16.93,16.93,3089400
2021-04-16,17.129999,17.25,16.594999,16.620001,16.620001,2796400
2021-04-19,16.65,16.945,16.530001,16.639999,16.639999,2419100
2021-04-20,16.51,16.99,16.030001,16.219999,16.219999,3125500
2021-04-21,16.120001,16.68,15.99,16.51,16.51,3377300
2021-04-22,16.450001,16.58,16.16,16.27,16.27,1508600
2021-04-23,16.35,16.889999,16.190001,16.780001,16.780001,1282800
2021-04-26,16.92,17.01,16.77,16.790001,16.790001,1671600
2021-04-27,16.82,16.865,16.610001,16.700001,16.700001,1199800
2021-04-28,16.74,17.02,16.49,16.549999,16.549999,3428800
2021-04-29,16.690001,16.865,16.51,16.76,16.76,3226300
2021-04-30,16.73,16.73,16.41,16.450001,16.450001,2142800
