Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,231.429993,235.380005,224.399994,227.020004,224.389465,329700
2021-01-05,225.960007,233.589996,224.710007,233.559998,230.853668,375200
2021-01-06,230.570007,236.630005,230.0,232.5,229.806,422100
2021-01-07,233.979996,241.460007,233.399994,240.770004,237.980133,287500
2021-01-08,242.570007,249.830002,241.779999,247.169998,244.306,330700
2021-01-11,243.050003,248.160004,242.649994,244.610001,241.77562,270800
2021-01-12,245.5,249.990005,245.0,247.279999,244.414703,422400
2021-01-13,247.830002,249.649994,245.119995,245.949997,243.100113,225100
2021-01-14,245.130005,261.220001,245.130005,256.769989,253.794724,342200
2021-01-15,257.540009,257.540009,249.100006,250.600006,247.696243,217200
2021-01-19,256.23999,262.320007,255.809998,260.290009,257.273956,258100
2021-01-20,262.049988,262.769989,256.089996,257.98999,255.000565,227500
2021-01-21,260.339996,261.0,253.869995,255.5,252.539459,256300
2021-01-22,254.330002,254.979996,247.630005,247.860001,244.988007,290200
2021-01-25,251.679993,251.679993,240.889999,247.690002,244.819977,307700
2021-01-26,248.009995,248.75,242.75,243.720001,240.895966,166100
2021-01-27,240.0,241.610001,231.100006,234.809998,232.089218,462700
2021-01-28,235.729996,240.449997,234.600006,238.399994,235.637589,217200
2021-01-29,237.800003,238.979996,230.570007,230.820007,228.145447,192300
2021-02-01,234.550003,238.139999,231.440002,237.479996,234.728256,222200
2021-02-02,240.789993,242.0,236.089996,238.050003,235.291672,230100
2021-02-03,238.0,239.990005,230.470001,231.490005,228.807678,247600
2021-02-04,231.550003,234.610001,228.429993,233.880005,231.169983,413000
2021-02-05,234.990005,236.479996,230.300003,231.0,228.323334,249900
2021-02-08,232.910004,236.809998,232.130005,235.830002,233.097366,334200
2021-02-09,235.0,237.690002,232.669998,234.649994,231.93103,225600
2021-02-10,236.089996,238.550003,233.979996,235.169998,232.445038,196200
2021-02-11,238.0,245.490005,237.300003,242.199997,239.393585,347300
2021-02-12,239.440002,242.449997,236.080002,238.160004,235.400421,195900
2021-02-16,242.75,250.820007,242.509995,248.679993,245.798492,354600
2021-02-17,246.479996,247.470001,237.789993,239.75,236.971954,255600
2021-02-18,236.699997,239.009995,230.570007,237.149994,234.402084,371100
2021-02-19,242.270004,243.669998,215.0,224.800003,222.19519,1205600
2021-02-22,221.610001,223.300003,207.509995,208.429993,206.014847,748500
2021-02-23,206.0,211.0,203.139999,209.630005,207.200974,827600
2021-02-24,208.779999,216.710007,206.539993,216.690002,214.179169,392000
2021-02-25,214.220001,216.0,206.779999,207.910004,205.5009,448800
2021-02-26,212.199997,213.830002,205.0,211.690002,209.237106,483300
2021-03-01,214.0,220.0,214.0,219.529999,216.986267,327800
2021-03-02,220.520004,221.139999,213.639999,214.5,212.014542,222900
2021-03-03,212.800003,215.75,205.970001,206.119995,203.731628,368600
2021-03-04,205.940002,206.789993,190.630005,193.529999,191.287521,617500
2021-03-05,194.809998,195.960007,180.199997,189.080002,186.889099,876900
2021-03-08,193.190002,203.839996,191.0,199.809998,197.494751,997200
2021-03-09,207.419998,217.460007,207.330002,214.960007,212.469193,662000
2021-03-10,218.009995,220.0,209.110001,212.270004,209.810379,478200
2021-03-11,219.0,223.509995,216.110001,221.910004,219.338669,301200
2021-03-12,218.309998,224.0,217.050003,221.940002,219.368332,438500
2021-03-15,222.929993,231.5,221.009995,230.720001,228.252274,397600
2021-03-16,231.899994,233.289993,227.279999,228.429993,225.986771,295700
2021-03-17,222.399994,232.199997,222.0,230.470001,228.004959,297500
2021-03-18,228.169998,233.220001,223.509995,226.990005,224.562195,378900
2021-03-19,228.559998,233.309998,222.389999,229.649994,227.193741,654800
2021-03-22,232.539993,237.539993,227.960007,233.860001,231.358688,475600
2021-03-23,234.0,234.050003,224.479996,226.529999,224.107101,437200
2021-03-24,228.440002,228.440002,219.669998,222.009995,219.635452,373300
2021-03-25,220.589996,227.199997,212.360001,226.389999,223.968582,447500
2021-03-26,227.5,240.490005,221.490005,240.119995,237.551743,369000
2021-03-29,238.389999,240.979996,225.940002,230.0,227.539993,593700
